NAME,GENDER,DOB,UNKNOWN,MARRIED
id,sex,dob,zipcode,marital_status
Amelia Nixon,female,1944-03-09,89136,married
Clara Hicks,female,1966-07-02,94105,married
Mason Brown,male,1981-05-31,89127,married
Michael Rice,male,1945-02-13,44101,married
Eleanor Ritter,female,1939-09-03,89136,married
Sofia Wise,female,1956-10-16,94105,married
Nevaeh Perry,female,1946-09-30,60612,married
Addison Combs,female,1963-01-17,43221,married
Ashley Wilson,female,1946-10-21,89127,single
Levi Burns,male,1958-01-31,43210,married
Jonah Smith,male,1965-10-30,44101,married
Bella Small,female,1959-03-30,10026,married
Eli Wilson,male,1949-02-09,94105,married
Samantha Flores,female,1972-12-15,94105,married
Riley Jones,female,1967-11-20,94105,married
Jake Glover,male,1943-12-27,60605,married
Marcus Hess,male,1973-06-26,43221,married
London Rodriguez,female,1944-05-19,10001,married
Adrian Smith,male,1934-02-27,90008,married
